OKRs,No,Score,Status,Tasks
,6,50,Done,Marketing support for Infrastructure working groups - promote participation in SWG/DWG working groups
,2,25,In progress,Finalize Ambassador Program and submit a detailed proposal.
,1,50,Done,"Hire more workers, evaluate upcoming spending for worker rewards and attach to lead report"
,4,50,Done,Reach the top Validators team and communicate to them Joystream validating opportunities.
,3,25,In progress,"Joystream token listing on the additional exchange, schedule necessary calls and ensure we progress towards additional markets for JOY."
,5,50,Done,YPP V2 referral program - prepare a marketing campaign to promote it.
,7,25,In progress,Lightpaper Translations - conduct translation for more languages.
,8,50,Done,"Outreach to web3 YouTube content creators - keep scaling outreach efforts, hire more workers."
,9,50,Done,Promote Joystream NFT features to a wider community
,10,50,Done,"Prepare new marketing campaigns to attract a wider audience of potential investors, content creators and builders"
,11,50,Done,Organize at least 3 posts for KOLs about Joystream with total coverage of at least 10000 views
,12,50,Done,Promote community Twitter Spaces and Discord events outside of Joystream
,,525,Null,Total
