Name,Build Phase,Scope,Tags,Type,Use Phase
"“Build a News Network” (Key%20Initiatives/%E2%80%9CBuild%20a%20News%20Network%E2%80%9D%20340fad63c4fa4f93b83ca710f1ebb06e.csv) ","post-mainnet, pre-mainnet",,"incentives, join joystream, onboarding, promotion, sustainability","Project Build, self",All
Token Swapping Routes,pre-mainnet,"Atlas, Documentation, Pioneer","instructions, join joystream, onboarding, token swapping, wallets","bounty-creation, research, self",All
Channel/Vid “join” button with membership referral embedded,pre-mainnet,"Atlas, Gateway, Membership","channels, incentives, join joystream, promotion, videos",feature build,Early Growth
Post-upload rewards,pre-mainnet,"Channels, Governance","channels, incentives, sustainability, videos","research, self",All
Embedded Video offerings + hosting,"post-mainnet, pre-mainnet","Atlas, Gateway","incentives, promotion, sharing, sustainability, videos","bounty-creation, research, self",All
Atlas Music Fork,pre-mainnet,"Atlas, Gateway",features,"bounty-creation, feature build, self",All
"“Build rewards for creating dApps” (Key%20Initiatives/%E2%80%9CBuild%20rewards%20for%20creating%20dApps%E2%80%9D%202b0841873a204ce1b0e499d5f87ae65f.csv) ",,,,"Project Build, self",
Gateway Progress,"continuous, post-mainnet, pre-mainnet",Gateway,"incentives v3, join joystream, onboarding","JSG, feature build",pre-mainnet
Social Token Swapping Routes,pre-mainnet,Documentation,"channels, join joystream, onboarding, social tokens, token swapping, wallets","bounty-creation, research, self",All
Experimental Atlas forks,"continuous, post-mainnet, pre-mainnet","Atlas, Gateway","channels, gateway tokens, incentives, join joystream, onboarding","JSG, bounty-creation, feature build",All
Gateway “join” button with membership referral embedded,pre-mainnet,"Atlas, Gateway, Membership","incentives, join joystream, promotion",feature build,Early Growth
Integrations,"continuous, post-mainnet, pre-mainnet","Atlas, Gateway",wallets,"bounty-creation, research, self",All
"“Build a governance system” (Key%20Initiatives/%E2%80%9CBuild%20a%20governance%20system%E2%80%9D%20a2ef75afb89c4d7cbf9d021d0c038132.csv) ",pre-mainnet,"Documentation, Governance",sustainability,"feature build, self",All
