Task Name,Evaluation,XP
Have a banner image of Joystream in one of your YouTube videos,Views,6 - 12 XP
Short video,"Enagegement, Quality, Views",7 - 19 XP
Create a Twitter thread,"Enagegement, Quality, Views",4 - 8 XP
Upload an exclusive video content on Joystream & share it on your socials,Quality,12 - 44 XP
Create Joystream-themed Graphics / Infographics,"Creativity, Quality",7 - 14 XP
Engage with Joystream socials & participate in discussions,"Creativity, Quality",4 - 12 XP
Long video,"Creativity, Quality, Views",14 - 38 XP
Add link to your Gleev channel on YT channel description,Views,20 XP
Host an AMA with Joystream team,Enagegement,20 - 40 XP
Suggest Ambassador task,Creativity,10 XP for approved task
Growth/Others,Creativity,upto 100 XP
Write a Blog Post,"Creativity, Quality",6 - 12 XP
Share Success Stories,Creativity,5 - 19 XP
Promote YouTube Partner Program,"Referrals, Views",10 - 20 XP
Create awareness about our ambassador programme,"Creativity, Referrals, Views",40 XP per joined ambassador
Create a Meme & Post on X,Creativity,4 - 12 XP
